2023-06-25 14:22:45, jessie_moore, 192.168.197.139, data_upload, PENDING
2023-06-25 14:22:54, jane_miller, 192.168.133.186, data_upload, PENDING
2023-06-25 14:23:17, alex_jones, 192.168.33.12, password_change, FAILED
2023-06-25 14:23:49, casey_doe, 192.168.162.99, password_change, FAILED
2023-06-25 14:24:34, pat_jones, 192.168.2.84, file_access, PENDING
2023-06-25 14:24:51, sam_miller, 192.168.147.39, file_access, FAILED
2023-06-25 14:25:45, chris_davis, 192.168.20.91, file_access, SUCCESS
2023-06-25 14:26:19, casey_doe, 192.168.206.251, login_attempt, DENIED
2023-06-25 14:26:53, sam_miller, 192.168.219.71, logout, FAILED
2023-06-25 14:27:38, lee_moore, 192.168.88.207, password_change, DENIED
2023-06-25 14:27:52, pat_moore, 192.168.99.26, password_change, PENDING
2023-06-25 14:28:04, pat_brown, 192.168.204.28, file_access, SUCCESS
2023-06-25 14:28:55, lee_brown, 192.168.111.122, data_upload, DENIED
2023-06-25 14:29:07, casey_williams, 192.168.234.164, data_upload, FAILED
2023-06-25 14:29:27, lee_davis, 192.168.18.141, login_attempt, DENIED
2023-06-25 14:30:15, casey_wilson, 192.168.201.215, logout, DENIED
2023-06-25 14:30:38, sam_doe, 192.168.156.191, logout, DENIED
2023-06-25 14:30:45, casey_wilson, 192.168.99.160, file_access, DENIED
2023-06-25 14:30:52, john_davis, 192.168.151.150, file_access, PENDING
2023-06-25 14:31:51, pat_smith, 192.168.232.212, file_access, FAILED
